Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5514219287,"Jun 23, 2021, 1:14:48 AM",Evening Run,Run,,2537,6.52,,,FALSE,,,activities/5514219287.gpx,,,2537,2274,6528.600098,4.199999809,2.87097621,3.489473581,5.98947382,883.9000244,888.0999756,2.799999952,-0.038293049,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,6535.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5514242150,"Jun 23, 2021, 2:08:23 AM",Night Run,Run,,247,0.3,,,FALSE,,,activities/5514242150.gpx,,,247,67,300.2999878,7.099999905,4.48208952,0,0,884.2000122,884.2999878,0.699999988,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,300.3999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5519616703,"Jun 24, 2021, 1:16:12 AM",Evening Run,Run,,2397,6.65,,,FALSE,,,activities/5519616703.gpx,,,2397,2387,6656.200195,4.199999809,2.788521051,7.445000172,6.34499979,881.2999878,888.0999756,4.5,0.016525947,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,6664.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521604915,"Jun 24, 2021, 12:30:21 PM",Morning Run,Run,,1937,5.29,,,FALSE,,,activities/5521604915.gpx,,,1937,1921,5289.100098,4.099999905,2.753305674,7.332857132,6.832857132,881.2999878,888.0999756,2.5,0.009453404,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,5293.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521642973,"Jun 24, 2021, 1:08:23 PM",Morning Run,Run,,449,1.15,,,FALSE,,,activities/5521642973.gpx,,,449,435,1158.900024,3.799999952,2.66413784,0,-0.699999988,884,885.2999878,3.599999905,0.060402106,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1162.800049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526796745,"Jun 25, 2021, 12:33:14 PM",Morning Run,Run,,1992,5.33,,,FALSE,,,activities/5526796745.gpx,,,1992,1931,5332.100098,4.199999809,2.761315346,7.337500095,6.837500095,881.2999878,888.0999756,2.700000048,0.009377168,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,5336.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531699423,"Jun 26, 2021, 12:29:30 PM",Morning Run,Run,,1062,2.97,,,FALSE,,,activities/5531699423.gpx,,,1062,1051,2976.800049,3.400000095,2.832350254,3.820689678,2.620689631,884,888.0999756,5.300000191,0.040311743,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,2984.300049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5545428331,"Jun 28, 2021, 11:41:39 PM",Evening Run,Run,,195,0.44,,,FALSE,,,activities/5545428331.gpx,,,195,170,441.3999939,4.400000095,2.596470594,4.754411697,20.45441055,273.2999878,293.3999939,20,-3.5568645,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,503.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5545428399,"Jun 28, 2021, 11:46:12 PM",Evening Walk,Walk,,2550,3.22,,,FALSE,,,activities/5545428399.gpx,,,2550,1963,3221.199951,4.699999809,1.640957713,79.23931885,67.13929749,273.3999939,293.3999939,24.29999924,0.375636399,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5547603873,"Jun 29, 2021, 11:42:59 AM",Morning Walk,Walk,,3621,4.88,,,FALSE,,,activities/5547603873.gpx,,,3621,3621,4887.299805,4.599999905,1.349709988,134.4036865,134.5039978,273.2999878,293.3999939,39.70000076,-0.002046119,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
